央视频道,#genre#
三沙卫视,http://157.0.143.37:8112/JSBC_iptv/C10000410@JSBC
三沙卫视,http://112.86.202.37:8112/JSBC_iptv/C10000410@JSBC
金鹰卡通,http://112.86.202.37:8112/JSBC_iptv/C10000216@JSBC
卡酷少儿,http://112.86.202.37:8112/JSBC_iptv/C10000426@JSBC
山东教育卫视,http://112.86.202.37:8112/JSBC_iptv/C10000434@JSBC
上海节目,#genre#
都市剧场,http://112.86.202.37:8112/JSBC_iptv/C10000424@JSBC
江苏节目,#genre#
江苏新闻,http://112.86.202.37:8112/JSBC_iptv/C10000440@JSBC
江苏新闻,http://112.86.202.37:8112/JSBC_iptv/C10000229@JSBC
江苏城市,http://112.86.202.37:8112/JSBC_iptv/C10000224@JSBC
江苏教育,http://112.86.202.37:8112/JSBC_iptv/C10000231@JSBC
江苏影视,http://112.86.202.37:8112/JSBC_iptv/C10000227@JSBC
江苏综艺,http://112.86.202.37:8112/JSBC_iptv/C10000225@JSBC
江苏体育休闲,http://112.86.202.37:8112/JSBC_iptv/C10000226@JSBC
江苏国际,http://112.86.202.37:8112/JSBC_iptv/C10000470@JSBC
优漫卡通,http://112.86.202.37:8112/JSBC_iptv/C10000228@JSBC
特色频道,#genre#
睛彩竞技,http://112.86.202.37:8112/JSBC_iptv/C10000433@JSBC
晴彩广场舞,http://112.86.202.37:8112/JSBC_iptv/C10000429@JSBC
晴彩篮球,http://112.86.202.37:8112/JSBC_iptv/C10000431@JSBC
晴彩青少,http://112.86.202.37:8112/JSBC_iptv/C10000428@JSBC
盐城,http://122.97.211.133:8112/JSBC_iptv/C10000234@JSBC
